R7179,R9641
R14568,R16013
R10151,R9189
R1828,R5670
R11220,R6879
R3094,R5482
R10988,R8604
R8002,R9024
R10662,R5803
R6249,R9227
R1698,R8481
R10954,R14006
R12527,R5896
R1384,R6218
R2515,R581
R10530,R12290
R10284,R12527
R12598,R16407
R2018,R592
R12062,R12929
R16198,R17492
R11437,R13157
R7076,R8052
R8097,R9108
R16188,R16859
R15420,R16469
R11800,R8998
R3787,R8590
R4883,R6802
R2047,R6883
R12599,R9425
R2642,R6492
R3103,R5995
R4685,R5662
R12089,R8865
R5190,R835
R16591,R9643
R5140,R8036
R5764,R960
R3934,R4798
R12606,R13402
R2092,R5012
R4472,R6871
R11267,R9906
R4515,R6009
R13091,R7003
R119,R1482
R10917,R16825
R5803,R8782
R14161,R14510
R12571,R9346
R16221,R16893
R11799,R14640
R2347,R4286
R11823,R9046
R11946,R8755
R10943,R7075
R11485,R9165
R14525,R15291
R5067,R9454
R6532,R7482
R113,R2888
R15597,R16644
R2941,R5361
R16955,R9270
R11950,R5811
R12190,R6951
R14999,R16789
R3354,R9162
R1844,R6188
R2017,R589
R2731,R7097
R13257,R14952
R11203,R8792
R11704,R9912
R11572,R8773
R3609,R9907
R7471,R8998
R12911,R15217
R10850,R12650
R2338,R4312
R13775,R14927
R1720,R4168
R12956,R14923
R14476,R17318
R2451,R554
R11545,R5282
R12108,R5447
R13859,R15321
R13652,R7223
R11959,R7211
R15279,R9373
R16262,R17530
R10195,R11521
R13203,R15501
R11923,R13780
R6030,R8953
R2584,R9904
R2383,R542
R2049,R3054
R5504,R6435
R12592,R8899
R14987,R16777
R2597,R4998
R5043,R8939
R3658,R7452
R12859,R14444
R10747,R8350
R15370,R9946
R15077,R15826
R7987,R9014
R2284,R720
R12297,R7256
R15368,R16115
R12336,R9148
R5506,R6423
R12461,R13650
R11101,R6826
R13973,R15860
R5128,R7043
R16288,R17295
R12334,R14737
R13295,R15900
R6387,R9372
R10716,R11631
R11489,R15187
R5819,R9242
R14592,R16738
R279,R5074
R2502,R4916
R14227,R15003
R16659,R17260
R6156,R6645
R4655,R6105
R11312,R16780
R14643,R16799
R5486,R6418
R4757,R829
R6600,R7571
R3312,R9132
R2054,R5917
R12649,R15003
R5907,R7815
R11103,R7782
R11075,R4820
R10312,R16036
R12661,R13474
R159,R3038
R8475,R9018
R2494,R5763
R10861,R9958
R12879,R14804
R11974,R1881
R11040,R6232
R13962,R14715
R4112,R6974
R10152,R9212
R3420,R6798
R13834,R14598
R8370,R9845
R10672,R11974
R5151,R800
R11159,R11615
R11183,R8335
R11826,R5600
R15264,R16727
R3418,R98
R1103,R7917
R2409,R9697
R10465,R12254
R12047,R3384
R135,R3006
R11775,R12697
R4787,R910
R1057,R2522
R12840,R15615
R11869,R12794
R10299,R8860
R7075,R9052
R11065,R4901
R5147,R8078
R16005,R16729
R12533,R8354
R16174,R17463
R10763,R12085
R7034,R9513
R13426,R17096
R10432,R15794
R12163,R8929
R14547,R16072
R11813,R13933
R13051,R13868
R1808,R4274
R14726,R17607
R10182,R11600
R5787,R6804
R11934,R12844
R11754,R14019
R15233,R16370
R4443,R6821
R15393,R16131
R5523,R9940
R2460,R5824
R11702,R8922
R1370,R437
R5639,R9061
R1732,R4018
R1573,R4946
R4363,R5358
R14957,R16411
R1688,R4145
R14675,R16498
R2111,R229
R2432,R8694
R4161,R7476
R3181,R8978
R15134,R17202
R5276,R6247
R16635,R17257
R10630,R5374
R13,R1373
R15110,R16576
R1787,R2781
R10867,R8456
R4092,R8799
R8466,R9947
R15104,R5214
R13465,R14946
R11387,R12732
R3074,R5493
R10201,R7243
R12533,R8801
R12997,R16439
R12082,R14899
R13569,R14326
R1568,R2550
R11099,R8217
R6354,R9303
R1188,R2639
R6482,R8960
R2412,R3906
R11217,R12978
R11203,R14154
R3567,R4964
R14263,R15781
R5698,R7171
R10697,R4865
R5930,R8850
R13635,R15160
R2194,R3185
R12275,R15074
R13751,R9798
R12227,R2681
R7395,R8454
R12344,R16575
R13721,R6292
R6540,R7488
R12565,R14532
R3252,R6599
R15393,R16803
R3031,R7342
R5288,R6239
R16424,R17065
R14978,R6473
R5877,R7776
R2790,R9586
R11429,R13585
R12870,R8756
R13002,R9925
R10480,R16181
R14633,R16120
R12406,R8296
R14439,R9069
R5992,R8239
R4254,R5186
R1817,R6616
R1445,R3405
R17362,R9836
R3271,R9608
R6802,R7298
R3148,R4123
R1023,R2391
R5093,R7027
R15085,R17045
R104,R5352
R6571,R7041
R6389,R8385
R14802,R15593
R7661,R9591
R13898,R9030
R12758,R14701
R6770,R9267
R11135,R13304
R2647,R3690
R6233,R6827
R3916,R5357
R7319,R8340
R14857,R16678
R4098,R4513
R10607,R11991
R14660,R9516
R3226,R773
R11873,R15110
R4092,R4932
R15076,R15820
R6370,R7812
R5917,R612
R11698,R8433
R4905,R8195
R10903,R7005
R10985,R5667
R12163,R13805
R1519,R624
R11516,R12452
R14206,R16086
R16362,R17021
R6944,R7954
R11910,R8052
R3144,R6962
R2918,R8235
R1280,R826
R14568,R16386
R12833,R8206
R12462,R14054
R11368,R5127
R10457,R6551
R11801,R7968
R14341,R6190
R13876,R8462
R13760,R9354
R10727,R9797
R10753,R13357
R14186,R9428
R6392,R7375
R7448,R9406
R11964,R13257
R13189,R15504
R1428,R2409
R11971,R9201
R2442,R3479
R13474,R9943
R8182,R9669
R6572,R7537
R15026,R9482
R10097,R9093
R12559,R6401
R12871,R8304
R13987,R16882
R13071,R8968
R10524,R12738
R1447,R3940
R3833,R8596
R10653,R12474
R11901,R13182
R3609,R5522
R10185,R12914
R2181,R752
R4276,R5210
R4800,R5366
R1830,R7130
R12139,R9903
R10826,R12155
R11382,R14699
R3982,R4883
R5393,R5895
R12704,R15057
R11544,R9190
R13129,R8539
R13983,R16577
R5562,R6990
R10489,R13127
R10987,R12792
R6645,R7621
R10951,R14708
R2826,R6174
R12244,R12245
R2564,R3598
R2719,R4537
R10874,R16118
R13163,R6667
R2912,R452
R11062,R1875
R455,R4906
R15971,R16685
R11606,R17333
R10130,R13635
R8455,R9909
R3397,R951
R15586,R17532
R14269,R16813
R13223,R14780
R13582,R9101
R12310,R16528
R12566,R13771
R11272,R12144
R3470,R9250
R15326,R17059
R4409,R6733
R11390,R3774
R10779,R8392
R9002,R9989
R15719,R16416
R8406,R9395
R12253,R13909
R10956,R5687
R2433,R6601
R13315,R16337
R2713,R3718
R1479,R5
R119,R4322
R1073,R6857
R10791,R14203
R11578,R9286
R2838,R415
R8650,R9640
R10309,R9374
R7725,R9671
R4700,R7080
R1720,R6519
R10544,R16226
R13134,R14703
R2033,R4460
R1008,R2958
R16914,R17202
R7280,R8299
R236,R3592
R11034,R7076
R337,R7052
R14490,R15977
R13290,R15210
R10798,R4072
R7794,R9177
R13861,R14555
R12267,R8543
R520,R6234
R2554,R9854
R11361,R15759
R11459,R9113
R3473,R44
R11571,R6809
R3791,R852
R11926,R7551
R14892,R16715
R12331,R2837
R2703,R7988
R6176,R8617
R1203,R1719
R12342,R14349
R11001,R8114
R10912,R9021
R5898,R7336
R15595,R16328
R14100,R17308
R2861,R418
R8236,R8790
R2694,R736
R2918,R517
R14177,R16768
R1207,R2177
R13366,R16713
R4947,R6401
R13728,R14506
R2249,R5631
R2057,R3538
R2299,R7608
R468,R5784
R8009,R9989
R14179,R9385
R5160,R8563
R4778,R5745
R11102,R14083
R16715,R9364
R744,R7469
R14121,R15235
R10280,R11149
R7221,R8209
R2270,R6590
R15430,R16163
R1650,R5058
R10563,R3283
R1265,R2243
R14352,R16911
R6395,R8390
R12856,R15176
R4060,R8868
R307,R3171
R2562,R4099
R5704,R7632
R10110,R3322
R12589,R16419
R6901,R8392
R10037,R4693
R1964,R3949
R10105,R9614
R1314,R4294
R13070,R16455
R2186,R3199
R4843,R8704
R3611,R5524
R14311,R16194
R4287,R6654
R3410,R6756
R10334,R8912
R10754,R16715
R11301,R8470
R6655,R7630
R1428,R7752
R12682,R7516
R10944,R5610
R16177,R17460
R11583,R9256
R2693,R9478
R12922,R14117
R5929,R8838
R12527,R5469
R11509,R16957
R14363,R16578
R1739,R7051
R13750,R9806
R5770,R6742
R12667,R9953
R12813,R15532
R10505,R9569
R7729,R9202
R10979,R9602
R13456,R9388
R5716,R8606
R1489,R3881
R13349,R9302
R1931,R2425
R2220,R3214
R5143,R6098
R2631,R8967
R11792,R9029
R11931,R12386
R13117,R13936
R1472,R50
R3971,R4907
R11400,R7581
R11672,R14522
R10965,R5546
R5148,R8079
R4712,R5680
R12328,R4182
R5667,R9121
R10638,R12446
R12784,R5191
R13888,R15387
R1790,R9103
R11003,R13975
R14834,R16328
R13219,R15156
R1450,R6816
R13417,R16530
R4340,R5336
R3454,R4429
R13793,R7346
R3742,R7071
R12425,R9270
R2790,R7616
R8854,R9838
R10270,R11177
R10890,R9520
R5636,R8072
R16556,R16907
R13745,R14867
R10650,R5801
R11644,R12569
R14148,R16730
R12877,R9272
R11283,R6441
R2808,R3311
R10420,R11314
R5607,R7045
R6580,R8564
R13912,R14657
R14601,R9906
R12684,R9502
R10307,R14528
R10265,R15637
R2069,R4970
R11834,R15466
R3715,R9357
R14501,R15633
R12784,R6154
R4629,R5552
R12230,R13106
R15152,R16586
R16121,R16815
R2824,R857
R1822,R2779
R1896,R3461
R13157,R16577
R3766,R7571
R12237,R15050
R11315,R16795
R10730,R14870
R3576,R4540
R5019,R7402
R1975,R9755
R10114,R13172
R3609,R6460
R7467,R8520
R12346,R14759
R12516,R6371
R13631,R15183
R14837,R15585
R11398,R11846
R10172,R5866
R2531,R7377
R2887,R4883
R7397,R8443
R1798,R4270
R11541,R8744
R6517,R8026
R14328,R9078
R10516,R8074
R15551,R16277
R4285,R5205
R12049,R13345
R1677,R292
R4587,R5566
R11103,R4909
R2258,R351
R11046,R7702
R10932,R8536
R10518,R10952
R5102,R6058
R11162,R12931
R15441,R16497
R10105,R13990
R2213,R734
R12768,R13181
R1303,R2338
R10871,R9503
R11772,R8488
R11039,R5840
R1117,R640
R12744,R15208
R12861,R9206
R1348,R6643
R3813,R9621
R13269,R14409
R1917,R3895
R13945,R14069
R10985,R6512
R10953,R12740
R12029,R16669
R5121,R5581
R3999,R4933
R12295,R8330
R6647,R8125
R10405,R14615
R6376,R7841
R11661,R14151
R10037,R5642
R13879,R15006
R10701,R14854
R1539,R3502
R12877,R16972
R6183,R9150
R11673,R13379
R12597,R15351
R1523,R8798
R12148,R14559
R6447,R7406
R2816,R5670
R10417,R15010
R12185,R13415
R5423,R7808
R3643,R687
R12800,R13609
R10806,R13814
R13423,R14575
R11192,R9828
R2560,R5009
R1569,R5932
R11252,R12158
R1295,R5157
R7854,R9377
R16105,R16787
R1785,R5188
R13287,R14853
R1630,R6009
R4395,R5852
R11280,R8908
R10734,R8348
R12698,R16819
R13104,R16809
R4778,R8174
R15345,R8937
R2696,R4167
R12283,R7533
R11459,R6146
R13003,R5050
R12880,R17270
R12680,R7999
R12327,R14715
R11343,R8487
R13292,R8790
R2895,R5865
R15048,R17422
R11964,R17081
R13016,R16759
R13212,R16550
R4182,R7635
R11582,R12503
R13128,R2246
R11522,R15211
R13981,R13983
R11097,R8702
R11754,R12670
R3481,R8320
R5657,R7892
R11324,R12249
R4279,R860
R1384,R7181
R6047,R8495
R16081,R17576
R1420,R3882
R10906,R9988
R3338,R4325
R14319,R16875
R11537,R12385
R14820,R17269
R11709,R15687
R1431,R470
R16337,R9675
R8697,R9671
R4272,R9635
R1321,R4713
R1771,R818
R13875,R14608
R6131,R9558
R13207,R17510
R11954,R12893
R1794,R838
R14820,R15572
R1173,R5986
R1764,R4706
R2443,R3433
R2710,R4195
R11933,R14057
R10314,R8373
R15349,R8900
R15542,R16305
R13300,R15574
R6296,R9177
R14048,R16629
R303,R8512
R14993,R16766
R1273,R4240
R2758,R5622
R14046,R7310
R4962,R6894
R10972,R1810
R10097,R8113
R5421,R7325
R1658,R3655
R12790,R8614
R12337,R9141
R10290,R3490
R6555,R766
R10927,R8041
R2611,R5977
R14444,R9744
R3776,R8569
R4567,R5530
R11482,R12392
R10505,R13953
R2658,R304
R16259,R17516
R11166,R15976
R2954,R8692
R1917,R2885
R12417,R3961
R12238,R16482
R11062,R9240
R10191,R5368
R6726,R8181
R10476,R7535
R12688,R8988
R13175,R14357
R2902,R5800
R12190,R5499
R13522,R14630
R36,R3904
R14625,R16458
R2678,R6091
R10812,R13856
R10090,R5728
R11353,R4626
R1453,R471
R10447,R7996
R14634,R7029
R16024,R17346
R12801,R13182
R10562,R4769
R14876,R17014
R14900,R15664
R10764,R11648
R13794,R8792
R10503,R7557
R11288,R7935
R265,R3708
R5297,R6735
R4537,R8868
R7230,R7749
R11024,R12398
R13951,R9055
R10469,R7034
R15901,R8247
R5737,R6689
R12983,R13830
R2067,R6393
R11324,R7526
R2455,R3362
R2111,R4540
R4851,R5335
R11666,R16389
R13229,R7684
R10264,R8823
R4932,R9815
R13795,R8854
R6665,R9091
R13615,R15121
R3466,R6742
R1706,R1707
R2005,R6867
R13392,R15704
R5320,R6263
R4309,R9573
R3690,R7018
R14288,R15026
R3353,R3865
R12444,R13291
R10684,R14409
R15832,R17490
R11197,R12096
R14760,R16249
R14252,R15039
R2392,R4892
R7307,R9219
R12486,R8757
R2212,R306
R15413,R17124
R5283,R7754
R10496,R14304
R10337,R11870
R1317,R7629
R11934,R13669
R10290,R6351
R10953,R8564
R7570,R9544
R11886,R16893
R5312,R776
R13293,R7739
R3776,R9552
R415,R7654
R15008,R16453
R4752,R6151
R1656,R693
R10685,R9706
R12155,R15307
R13123,R14690
R1001,R4866
R1553,R173
R2908,R3408
R1834,R7137
R4913,R9799
R13398,R14187
R3928,R7290
R13708,R14461
R10978,R14532
R11642,R8373
R12985,R7940
R1813,R6619
R12747,R13555
R1805,R4997
R13019,R13856
R16367,R17010
R15333,R17082
R13015,R13853
R2650,R266
R2215,R3202
R1001,R1919
R13156,R13967
R12608,R13408
R2042,R5887
R12666,R16452
R12312,R12732
R4029,R5943
R4786,R6213
R11737,R15711
R2246,R8541
R4800,R6291
R12281,R3725
R5826,R6802
R11974,R5352
R10452,R12253
R11830,R14701
R10424,R13067
R5409,R7341
R5336,R8194
R1490,R4872
R6587,R7553
R13834,R14946
R12760,R14755
R6554,R8493
R15983,R16355
R5306,R6813
R4535,R8419
R2138,R6028
R14850,R16335
R14079,R15177
R4566,R7955
R7232,R8297
R1884,R6257
R5584,R9489
R12515,R9293
R16586,R16923
R13840,R9872
R10276,R8803
R1247,R3706
R13512,R15057
R1296,R3759
R10916,R11794
R3609,R9393
R10806,R16419
R5289,R9242
R11066,R9721
R8139,R9092
R5718,R7675
R2223,R5608
R13350,R14493
R11140,R7186
R3123,R377
R12539,R2356
R2983,R5299
R13233,R14394
R1575,R7389
R10738,R16193
R12146,R13852
R3680,R5102
R10457,R4141
R7512,R9991
R1077,R2034
R7227,R9736
R2004,R9039
R571,R8551
R10472,R6079
R14949,R16746
R5432,R8871
R11448,R9135
R13490,R16785
R5151,R8576
R12125,R9868
R12688,R5121
R11545,R2437
R10944,R12308
R8463,R9460
R3894,R7191
R8820,R9294
R27,R5323
R10790,R9911
R11004,R15118
R4970,R596
R6388,R9341
R10674,R1890
R362,R4648
R15124,R7602
R11534,R9200
R13048,R16067
R12919,R13345
R6421,R8452
R11752,R8958
R1644,R5512
R4577,R6022
R4231,R5150
R1338,R2812
R3684,R6190
R571,R7048
R11007,R8628
R7209,R8201
R12970,R16018
R15683,R16405
R127,R4447
R11337,R13084
R13244,R5768
R12974,R6907
R14540,R16721
R11916,R15526
R10558,R2845
R4717,R5695
R2457,R3442
R45,R9289
R12196,R17398
R1511,R4458
R12217,R13472
R2442,R8291
R13465,R14598
R12520,R15625
R11489,R16959
R13975,R14735
R12495,R5276
R12429,R8676
R13788,R5921
R2487,R4859
R11170,R13924
R1602,R4714
R11802,R9982
R1477,R3927
R5058,R6487
R11013,R12359
R4477,R9328
R2835,R6638
R3772,R5159
R12232,R8977
R5657,R8870
R5472,R6392
R2628,R4110
R4686,R7074
R11380,R11953
R14333,R17204
R12771,R6651
R15081,R15828
R4758,R6676
R14135,R15670
R11211,R13786
R6899,R9829
R10321,R14930
R11759,R13070
R15323,R16416
R2700,R296
R589,R8324
R5131,R8041
R10250,R7696
R11499,R8225
R1213,R295
R5542,R7961
R6632,R9104
R10613,R12853
R12608,R15684
R14113,R15627
R5814,R9761
R1885,R8762
R5968,R6916
R3695,R5104
R8716,R9674
R2507,R5423
R10044,R13029
R4422,R5316
R12529,R8811
R224,R670
R10945,R15092
R10368,R13047
R2958,R6780
R15749,R16115
R6771,R7692
R15829,R16854
R14982,R9896
R16738,R17097
R8369,R9354
R7789,R9236
R12592,R2098
R4394,R6718
R1492,R3477
R11057,R4370
R17423,R8523
R7109,R8646
R14609,R16115
R12006,R14805
R12017,R14037
R12659,R14617
R14983,R16434
R11785,R15775
R10625,R8190
R1638,R6460
R1008,R11974
R7271,R9663
R6581,R7573
R13193,R16905
R2674,R5083
R3716,R7061
R10176,R10678
R11410,R6637
R4961,R9333
R11290,R12155
R242,R5039
R12510,R8816
R13904,R15019
R3609,R6949
R13367,R16391
R10269,R2511
R6608,R9065
R11565,R12845
R5787,R9769
R14265,R16231
R10719,R7813
R11954,R12454
R3227,R4657
R16831,R17457
R3503,R3999
R6658,R9132
R15379,R16118
R2813,R5196
R6505,R8019
R10608,R7276
R10590,R8660
R6093,R9040
R6345,R7827
R11883,R14736
R12368,R7149
R12236,R13083
R3482,R8331
R61,R6742
R10302,R5949
R1134,R635
R5906,R8796
R15492,R16575
R11976,R13251
R4712,R8116
R4182,R9623
R12472,R9189
R4708,R8117
R14539,R7348
R7751,R952
R13669,R15187
R13006,R14603
R14946,R16435
R5864,R8708
R5358,R6279
R5239,R6655
R2923,R516
R10217,R8768
R13911,R14663
R12309,R9379
R17362,R9373
R15001,R16224
R13383,R16010
R13463,R14568
R3171,R7974
R2453,R528
R1453,R2423
R13978,R8129
R12915,R13723
R13460,R6913
R11663,R5921
R16667,R17304
R12595,R9406
R3362,R5869
R6640,R8617
R2721,R4205
R10155,R12492
R4018,R767
R4851,R6767
R5719,R8645
R5346,R7758
R13415,R14556
R14522,R14917
R15711,R9917
R13067,R8460
R13977,R8129
R2292,R9582
R5739,R8176
R10141,R4793
R2917,R8774
R1220,R290
R123,R4916
R3071,R4022
R11732,R8937
R3614,R6465
R3443,R4388
R1805,R4093
R2781,R378
R13062,R9958
R12056,R15659
R15300,R16081
R12666,R14228
R6215,R8653
R14290,R15066
R10897,R16810
R13198,R15484
R1061,R6861
R230,R4068
R11720,R12145
R11462,R12782
R11312,R13063
R13872,R14621
R14963,R16441
R7689,R9284
R11156,R16701
R10613,R11122
R3406,R8663
R4482,R6901
R13483,R15012
R13678,R14794
R11103,R9692
R10894,R7496
R11185,R6894
R152,R1533
R7382,R9350
R13015,R8415
R16024,R16727
R15655,R16397
R10996,R7167
R13622,R15888
R2319,R8087
R13551,R16856
R14065,R15915
R15280,R16029
R1515,R4925
R10297,R12963
R7698,R8741
R12043,R12501
R4817,R9080
R1181,R253
R15326,R16426
R7843,R8378
R11086,R12007
R5239,R7630
R16760,R17382
R16822,R17505
R10497,R9084
R14055,R15565
R10790,R15349
R11913,R13234
R4566,R6956
R11073,R9664
R8415,R9445
R11387,R12312
R6049,R7488
R9027,R9988
R8473,R9944
R15793,R16486
R11352,R14257
R11740,R15302
R13963,R15863
R2382,R7309
R5187,R9147
R1772,R2733
R10317,R3547
R14448,R8730
R6122,R7081
R11911,R13229
R11138,R12041
R10874,R14268
R1654,R6964
R11760,R7957
R3092,R5006
R2541,R8839
R6730,R7693
R5231,R7638
R11313,R4111
R5069,R6031
R13709,R16333
R6542,R7520
R1318,R6012
R4681,R7194
R13494,R15769
R7553,R8062
R11580,R15608
R2083,R4748
R10367,R7899
R40,R6784
R11185,R8864
R2526,R4478
R11331,R7499
R13793,R8390
R2194,R4636
R11757,R14234
R5383,R83
R2973,R7274
R12467,R12862
R10896,R7979
R5866,R7284
R2526,R8331
R2731,R3749
R13657,R15898
R10940,R11835
R12147,R13413
R1710,R5546
R5352,R6780
R10586,R15514
R11874,R8610
R10225,R4828
R10889,R11357
R3435,R484
R4496,R9832
R11522,R13643
R14170,R9438
R10560,R11423
R12535,R7830
R10885,R8493
R6052,R9504
R4034,R4945
R13131,R8566
R11936,R13298
R14633,R15025
R11616,R13335
R11047,R11569
R4363,R8263
R12290,R14696
R4307,R6673
R310,R3703
R2028,R3533
R1342,R2045
R10190,R5864
R10672,R2958
R10056,R11842
R3454,R8219
R13798,R14597
R13567,R6143
R13211,R13987
R10948,R8571
R13989,R9616
R10064,R16246
R13747,R15239
R1895,R507
R10819,R11683
R13907,R9011
R10845,R14174
R10865,R15752
R11009,R11856
R5272,R8222
R14996,R15736
R11201,R14914
R4176,R734
R10642,R7291
R13,R4796
R13355,R13376
R4347,R5797
R11456,R15517
R3646,R5535
R11974,R9731
R10150,R12501
R13352,R16353
R14447,R7739
R14493,R17006
R5536,R9952
R11298,R14573
R14405,R17425
R15629,R9818
R210,R4512
R97,R987
R12723,R15442
R1263,R3056
R12733,R14328
R12202,R14238
R14483,R9808
R12058,R4001
R13192,R16541
R14076,R16660
R12777,R9109
R12534,R9802
R1612,R628
R16526,R17491
R13411,R14178
R10177,R13653
R1426,R8679
R8583,R9123
R12811,R15531
R13795,R7843
R2270,R8555
R2300,R414
R4723,R5236
R4364,R5866
R12030,R15216
R14596,R16420
R3317,R874
R1824,R3836
R10747,R9821
R12902,R14463
R11004,R13162
R8376,R9362
R10359,R7921
R2931,R3934
R2696,R6524
R6528,R7034
R10537,R12804
R5179,R6115
R14193,R6953
R2628,R3141
R2483,R5862
R6152,R7603
R10899,R7521
R10193,R9216
R10405,R13055
R11206,R12112
R1031,R5305
R10782,R16391
R2663,R8483
R12185,R8455
R14863,R16661
R11572,R7221
R3015,R6829
R337,R5139
R12652,R7455
R4053,R8856
R16217,R16890
R1477,R9716
R10716,R9303
R13254,R14041
R5401,R5402
R3720,R8546
R13730,R14478
R15784,R16481
R1369,R2373
R10333,R6452
R1950,R8747
R12070,R13740
R4395,R548
R10249,R5346
R11634,R8822
R10297,R14137
R12248,R14274
R11641,R12975
R11142,R15959
R11368,R7059
R7502,R9972
R4307,R6197
R2318,R8086
R11061,R7688
R8318,R9817
R11380,R8553
R11938,R7270
R14122,R14123
R14979,R15727
R16308,R17282
R2042,R3025
R11078,R11564
R1363,R1837
R6803,R7735
R1171,R9392
R11411,R14366
R12560,R8214
R7436,R9904
R14752,R15869
R5117,R9025
R4547,R681
R16826,R17424
R13934,R14296
R12583,R13620
R10273,R9294
R15179,R9228
R13638,R16623
R10217,R8267
R10276,R5390
R2240,R3229
R11510,R11512
R2428,R526
R11304,R15007
R7505,R9488
R16026,R17556
R2833,R9127
R10971,R11852
R16343,R16672
R1661,R2627
R2526,R7344
R16840,R17151
R10520,R14695
R10898,R9519
R4371,R547
R6108,R781
R10062,R13596
R3325,R5218
R7199,R9268
R4301,R5677
R17018,R17341
R2838,R3817
R10487,R9532
R11759,R15750
R10078,R7591
R11823,R5608
R13470,R16448
R8359,R9333
R10342,R11285
R6207,R7594
R13349,R13738
R6544,R8500
R13405,R9385
R3541,R5468
R6896,R7875
R11751,R15360
R2779,R7147
R12024,R8684
R1020,R3401
R11001,R873
R3898,R6801
R14535,R17025
R11258,R9876
R10760,R4047
R11124,R9282
R1352,R8784
R11049,R14806
R11384,R6587
R14732,R15513
R13151,R17470
R12525,R15256
R13707,R16345
R4823,R946
R5670,R9107
R11154,R13733
R6644,R9624
R12284,R8541
R13501,R16563
R14425,R15176
R11744,R13032
R3710,R5570
R10167,R1951
R13307,R15231
R12265,R15387
R2926,R5784
R13385,R16707
R11328,R14274
R12062,R15259
R12613,R13847
R11049,R16985
R5765,R6756
R1061,R151
R1773,R5620
R2421,R9252
R12505,R7797
R10154,R11516
R10027,R12285
R6964,R8463
R1185,R5070
R10009,R7491
R12406,R9721
R12926,R7672
R3734,R4195
R12235,R16129
R11804,R8012
R7471,R9982
R13079,R8009
R11766,R9458
R5956,R8915
R1371,R6212
R6373,R7350
R11849,R13135
R3463,R5870
R1076,R3988
R6576,R8579
R12914,R15224
R12545,R14137
R316,R3225
R10677,R8240
R10810,R11698
R8330,R9321
R11243,R13464
R2075,R3579
R2544,R4961
R10783,R14909
R1021,R78
R3301,R4729
R10007,R4621
R1083,R5928
R12350,R13570
R10660,R11556
R10961,R15110
R3494,R6857
R3576,R5964
R13734,R8800
R7043,R9536
R1852,R3342
R2982,R5788
R3468,R57
R13941,R15431
R3432,R8201
R11724,R4554
R6739,R9163
R10781,R9830
R3547,R4485
R5815,R8774
R11056,R4356
R11888,R17180
R2046,R5462
R14186,R8400
R14497,R17029
R15513,R16569
R4054,R5027
R12775,R9579
R15697,R17087
R13684,R14060
R2912,R978
R11957,R14447
R1595,R5959
R14004,R15047
R7280,R9280
R10738,R12758
R12179,R14204
R10535,R6637
R2407,R5765
R14313,R16533
R6840,R8351
R12960,R7357
R13954,R16194
R4381,R7805
R3777,R6126
R11732,R13402
R1585,R241
R5255,R8172
R8671,R9268
R1342,R5675
R1115,R3601
R15069,R17142
R6055,R7525
R12054,R6858
R13213,R9208
R14047,R7311
R2421,R5266
R10614,R9759
R6366,R8823
R4150,R5082
R4327,R6593
R9462,R9945
R15532,R17528
R15128,R16255
R2628,R9460
R800,R8072
R11222,R9342
R1043,R2495
R1939,R6712
R1413,R2892
R13541,R15796
R10765,R6367
R13651,R8260
R15655,R16730
R10491,R6571
R6638,R7620
R5072,R7466
R10332,R6915
R14354,R2837
R1880,R2938
R12514,R12921
R11971,R14056
R13725,R16864
R10265,R14877
R4755,R8131
R3016,R7324
R6556,R8030
R15160,R16268
R11197,R7843
R5050,R9927
R11698,R9382
R6217,R7180
R1413,R4350
R7077,R8057
R6564,R9346
R1076,R2008
R15480,R16544
R12422,R14079
R14023,R14779
R1352,R3815
R6289,R7212
R7181,R8166
R1351,R8623
R4549,R6925
R12322,R13204
R14670,R15492
R10750,R7878
R10181,R11941
R14925,R16038
R5447,R6896
R10034,R6582
R1982,R5826
R3102,R676
R10509,R12312
R6230,R7754
R5124,R7997
R10299,R6408
R10491,R5130
R9388,R9886
R12983,R14543
R10922,R13754
R10250,R8310
R10972,R5219
R5399,R6834
R10652,R7272
R11432,R9115
R6728,R8679
R11225,R9346
R10041,R7088
R12205,R13057
R6925,R9402
R4832,R5369
R16200,R16857
R12963,R14138
R10795,R13832
R10840,R9930
R13607,R7154
R4813,R6285
R12300,R16874
R8225,R9221
R15502,R16225
R14292,R16836
R10561,R9588
R11837,R8569
R13218,R14026
R10252,R9280
R12343,R4251
R1384,R421
R6583,R9082
R8475,R9978
R15398,R15788
R12068,R9801
R14093,R14852
R11316,R11759
R11510,R15912
R10598,R12390
R7129,R8115
R11754,R15521
R9178,R9768
R10292,R13328
R11334,R7009
R3234,R771
R13760,R8369
R12941,R16307
R4976,R7838
R10537,R7138
R11639,R12512
R5761,R7804
R4373,R7303
R2322,R5233
R10188,R12033
R13999,R15512
R10162,R6296
R10608,R11970
R12620,R7426
R6011,R6918
R3907,R5879
R10109,R12324
R13724,R16669
R11646,R8363
R2665,R3704
R2626,R7454
R11845,R12734
R12814,R15183
R1268,R5129
R11306,R13867
R10416,R12657
R2792,R3859
R10332,R12351
R3758,R5164
R15680,R16718
R12745,R13554
R2465,R6817
R12170,R8869
R5364,R5856
R10347,R12191
R10763,R11212
R10384,R11261
R14400,R15561
R4345,R5819
R5116,R8514
R7551,R9561
R13996,R15877
R1406,R3357
R16495,R17444
R2243,R4657
R7927,R8935
R10451,R11453
R12840,R14094
R10745,R4478
R2876,R6219
